address,bank_name,sell_course,buy_course,lat,lon
"г. Минск ул. Воронянского, 19, ун-сам ""Чкаловский""",Технобанк,2.88,2.915,53.8781726702,27.548249286
г. Минск пр. Пушкина 37,Технобанк,2.88,2.915,53.9071349183,27.4944664761
"г.Минск ул. Любимова 17 Ун-сам ""Брест""",Технобанк,2.88,2.915,53.8592970462,27.4625657447
"г. Минск ул. Голодеда 15 Ун-сам ""Соседи""",Технобанк,2.88,2.915,53.8394583901,27.6406872626
"г. Минск ул. Громова 20 Ун-сам ""Соседи""",Технобанк,2.88,2.915,53.8538554683,27.4446248479
"пр. Независимости 54 Ун-сам ""ЦУМ""",Технобанк,2.88,2.915,53.9165770154,27.586211416
"пр. Победителей 101/12 ТД ""Рамонак""",Технобанк,2.88,2.915,53.9349349703,27.4982461534
"Минская обл., Минский р-н, Боровлянский с/с, д. Боровая, 7А, ""ГИППО""",Технобанк,2.88,2.915,53.9653552082,27.644856127
9 км Московского шоссе,Технобанк,2.88,2.915,53.9636439324,27.7443256812
"Логойский тракт 46 АЗС ""UC""",Технобанк,2.88,2.915,53.9596217666,27.6293099656
"ул. В.Хоружей 1А ТЦ ""Силуэт""",Технобанк,2.88,2.915,53.9167422365,27.5800970197
"ул. Притыцкого 29 Ун-сам ""Евроопт""",Технобанк,2.88,2.915,53.9077712414,27.4845949597
"Минская обл., Минский р-н, Боровлянский с/с, д. Боровая, 7А, ""ГИППО""",Технобанк,2.88,2.915,53.9656632897,27.6454291908
"пр. Газеты Правда 20 Ун-м ""Виталюр""",Технобанк,2.88,2.915,53.868209111394,27.484146852834
ул. Каролинская 5а,Технобанк,2.88,2.915,53.8504698015,27.4845852844
"ул. Свердлова, 11",Технобанк,2.88,2.915,53.893224542295,27.55614699445
"ул. Толстого, 1",Технобанк,2.88,2.915,53.889689985717,27.545923015852
"г. Минск, ул. Тимирязева, 65А",ТК Банк,2.88,2.915,53.923587,27.510075
"г. Минск, ул. Тимирязева, д. 65А (второй этаж)",ТК Банк,2.88,2.915,53.9236,27.510258
"г. Минск, ул. Сторожовская,8",Банк Решение,2.895,2.915,53.912905944393,27.555604932541
"г. Минск, ул. Игнатенко, 11",Банк Решение,2.895,2.915,53.918461,27.52429
"г. Минск, ул. Бурдейного, 11 (магазин ЕврооптSuper)",Банк РРБ,2.892,2.916,53.903615,27.456171
